ALL INPUT IS WELCOME - THANK YOU,,,,,,
RANK,LEMMA,PoS,GERMANIC,GERMANIC-LIKE,DETAILS,
,`balance,n,"1) coolness, steadiness, wholeness, 2) fairness, rightness, 3) (in book-keeping) reckoning, left-over",,,
,`balance,vb,"weigh, offset, even up                      1) to steady, hold steady, keep steady, 2) to even up, match, make up for, offset, set off, set against, 3) to weigh, set side by side, 4) (in book-keeping) to reckon, reckon up, get the books right/straight, settle write up the books, work out",,,PUT TOGETHER
,`balanced,adj,"1) fair, fair-minded, even-handed, open-minded, right-minded, unswerving, unwarped, upright, 2) (of food eaten) healthy, 3) cool, steady",,,
,`band,n,"1) body, knot, drove, gathering, herd, set, team, throng, 2) binding, 3) length (of cloth or such), tie",,,
,`bankrupt,adj,"out of business, beggared, brought to nothing, beyond meeting one's owings, overwhelmed with owings, 'broke', 'in the red'",,,
,`bankrupt,vb,"run smn out of business, go out of business",,[S] fail,
,`barbaric,adj,"bloodlusty, bloody, hellish, loutish, ruthless, wild, wolfish",,,GOOD WORDS FOR AGGRESSIVE
,`bargain,n,"1) giveaway, good buy, good deal, 2) deal, understanding, undertaking",,,
,`bargain,vb,"to deal, undertake, beat down, sell",,,
,`barometer,n,,,[S] standard,
,`barren,adj,"1) cold, dreary, empty, forsaken, hard, lonely, pathless, stony, wild, 2) childless",,,"MERGE WITH EMPTY, DEVOID?"
,`base,n,"1) bed, bottom, floor, foot, groundwork, rest, stand, bedrock, 2) underneath, underside, 3) abode, home, home ground, stamping ground",,,
,`baseless,adj,"groundless, mistaken, untrue",,,
,`bashful,adj,"blushful, mild, mousy, shamefast, sheepish, shy",,,
,`basic,adj,"deep-rooted, going to the root, inwrought, key, main, underlying",,,
,`battle,vb,"1) to fight, fight it out, make a stand, give hard knocks, lock horns, pitch into, 2) to do one's utmost, give it one's all, go to all lengths, hammer at, put forth one's whole strength, put one's back/heart and soul into it, work, wrestle",,,
,`battle,n,"bloodbath, bloodshed, fighting, fight, head-to-head, set-to, stand",fray,,
,`bay,n,"bight, cove, inlet, roadstead",,,
,`beautiful,adj,"lovely, handsome, pretty, good-looking, stunning, comely, fair, becoming, seemly, shapely, winsome, hot",,,
,`beauty,n,"comeliness, loveliness, winsomeness",,,
,`beef,n,"meat, red meat, cowflesh, cow, cowmeat",,,
,`beguile,vb,"1) to bewitch, bind, spellbind, lay under a spell, weave a spell about, weave a web, bewilder, play upon, 2) to hoodwink, mislead, take in",,,
,`behavior,n,"bearing, doings, walk, way of doing things, ways, way of life",,,
,`bellicose,adj,,,[S] aggressive,
,`belligerent,adj,,,[S] aggressive,FIX
,`belong,vb,"belong, go (with), have a home in",,,
,`belt,n,girdle,,,
,`beneficial,adj,"good for, healthy, heaven-sent, helpful, wholesome, worthwhile",,,
,`benefit,n,"blessing, godsend, good, help, great help, windfall, worth, upside",,,
,`benefit,vb,"get (sth) out of sth, what's in it for smn, gain, earn                    1) to be good for, bless, come in handy, do good to, forward, help, stand one in good stead, work, 2) to do well out of, make hay with, make the most of",,,PUT TOGETHER. COMMON WORDS WITH TAKE ADVANTAGE OF
,`benign,adj,"harmless, wholesome, well-meaning, good, all-good",,,
,`berserk,adj,"mad (with wrath), hot-blooded, hot-hearted, afire, wild",,,
,`besiege,vb,"to begird, beset, cut off, ring about, hedge in, shut in",,,
,`bet,vb,"stake, gamble, make a book, have a flutter",wager,,
,`betray,vb,"[D1|to be unfaithful or disloyal to] to break one's word, forswear, let down, backstab, stab in the back, work against [D2|to reveal unintentionally] give away, let on, let (sth) drop/fall/slip, let drop, tell on, let the cat out of the bag",throw under the bus,[S] reveal,
,`beware,vb,"beware (of), look out (for), keep watch, mind, heed, be on the lookout for (for), keep an eye out (for), keep one's eyes open (for)",,,
,`bias,vb,slant,,,
,`bias,n,"slant, bent, blindness, blind side, mind made up, set mind, narrow mindedness, one-sidedness, pig-headedness, unfairness, warped mind",,,
,`bibliography,n,"booklist, reading list",,,
,`bicycle,n,"two-wheeler, wheelsaddle",,,
,`bigger,adj,"greater, more, further, higher, over and above",,,GERMANIC
,`biggest,adj,"greatest, most, highest, matchless, unbounded, unbroken, utmost, whole",,,GERMANIC
,`bigoted,adj,"narrow-minded, small-minded, twisted, unfair, warped",,,
,`bill,n,"1) draft law, 2) reckoning",,,
,`binoculars,n,field glasses,,,
,`bizarre,adj,"weird, and wonderful, outlandish, uncanny",,"[S] unusual, abnormal",
,`blame,vb,"call out, chide, upbraid, bring home to, lay at the door of, put down to, set down to, think the worst of, throw the first stone",,,
,`blame,n,"chiding, hard words, home-truth, upbraiding",,,
,`blameless,adj,"clean, clean-handed, guiltless, upright, free from guilt, not guilty, unguilty",,,
,`blameworthy,adj,"guilty, shabby, shameful, too bad, unbecoming, unworthy",,,
,`blank,adj,"1) clean, empty, not filled in, not written on, unmarked, white, 2) lifeless, slow, unsmitten, unforthcoming, wooden, 3) at sea, bewildered, clueless, floored, lost, stuck, 4) downright, outright, out and out, thorough, utter",,,COMMON WORDS WITH ABSOLUTE
,`blanket,n,bedspread,,,
,`blanket,adj,"broad, full, sweeping, thorough, wholesale, wide",,,
,`blanket,vb,"to cloud, hide, mask, overlay, spread over, swathe",,,
,`bleak,adj,"bare, cold, dreadful, dreary, forlorn, forsaken, godforsaken, gloomy, lonely, pathless, stark, wild, 'bereft'",,,
,`blend,vb,"1) to brew, make up, mingle, pound together, put together, shake/stir together, 2) to go well together, go with, match",,,MERGE WITH AMALGAMATE
,`blend,n,"brew, mingling",,,MERGE WITH AMALGAMATION
,`block,n,"1) building, flats, 2) wooden-block, 3) batch, lot, 4) hindering, hurdle",,,BLOCK IS NOT GERMANIC
,`block,vb,"hinder, stop, stifle, stymie, sit on",,[S] suppress,MERGE WITH OBSTRUCT
,`blonde,adj,"fair, fair-haired, flaxen, flaxen-haired, golden-haired",,,
,`bloom,vb,"to grow, do well, fare well, ripen, rise, sprout, strengthen, swell, wax",,,
,`blooming,adj,"blossoming, bursting with health, glowing, hale, healthful, healthy",,,
,`blow,n,"1) dint, knock, stroke, 2) misfalling, bolt from the blue, death-knell, hammering, overthrow, setback, thunderbolt, thunderclap, undoing, upset shipwreck",,,
,`blunder,vb,"[D1|make a mistake] [D2|to act clumsily or ineffectually] blunder, play into another's hands, put one's foot in it",,[S|D1] err,"MAKE ONE ENTRY UNDER MISTAKE, WITH BLUNDER, ERROR"
,`blunt,adj,"1) edgeless, unsharpened, unwhetted, 2) bald, bare, downright, forthright, making no bones, outspoken, rough-tongued, short, uncouth, unfeeling, withering",,,
,`boast,vb,"boast, tout, crow, put oneself forward, show off",brag,"[S] flaunt, promote",
,`boastful,adj,"boastful, crowing, full of oneself, show off, swollen-headed, uppish, windy, wise in one's own eyes",,,
,`boil,vb,"1) to be hot, seethe, spit, steam, 2) to be wrathful, become heated, fly off the handle, go off the deep end, storm",,,GOOD WORDS FOR ANGRY
,`bon appetit,phr,"have a good meal, dive in, dig in, eat up, eat your fill, eat hearty","enjoy, enjoy your meal",,
,`bond,vb,"1) to bind, hold together, put together, stick, weld, 2) to draw together in friendship, get to know one another, get on well together",,,
,`bond,n,"bond, link, foreward, matching, of one mind, setting at one, understanding",,,WONKY WORDS
,`boom,n,"(of business) growth, upswing",,,
,`boom,vb,"to do well, rise, strengthen, swell",,,
,`boomerang,vb,"backfire, come home to roost, come back to bite smn, bite smn in the butt",,,
,`boring,adj,"drearisome, dreary, heavy, overlong, tiresome, wearing, wearisome",,,
,`boss,n,"boss, foreman, hard driver, head, headman, high-up, leader, overseer, owner",,,
,`bother,n,"ado, much ado, to-do, stir, unrest, upset, worry",,[S] annoy,
,`bother,vb,"to gnaw at, bug, harrow, harry, hound, needle, sting, unsettle, upset, worry",,,"MERGE WITH ANNOY, TRY?"
,`bound,vb,"to fly, hurdle, leap, leapfrog, spring forward",,,
,`boy,n,"boy, youngster, youth, knave, youngling, whelp",,,
,`boycott,vb,"to cold-shoulder, cut, black, shut out, spurn",,,
,`branch,n,"1) bough, limb, shoot, offshoot, spur, 2) arm",,,
,`brave,adj,"[D1|feeling or displaying no fear by temperament] bold, daring, doughty, fearless, greathearted, gutsy, gutty, lionhearted, manful, stalwart, gritty, plucky, unflinching, unswerving, gamey                           bold, daring, daring-hearted, doughty, fearless, stern, steadfast, steely",,,PUT TOGETHER
,`brawny,adj,"broad-shouldered, great-limbed, heavy, mighty, strong, thickset",,,
,`breach,vb,"1) to break, go against, rend, 2) to break through, burst through, sunder",,,
,`breach,n,"break, cleft, crack, hole, opening",,,
,`breeze,n,"wind, light wind, breath of wind",,,
,`breezy,adj,"1) blowing, blowy, windy, 2) blithe, carefree, giddy, light-hearted, light-minded, lively, playful, sparkling, sunny",,,
,`bribe,vb,kickback,,,
,`bribe,n,"kickback, backhander, sweetener",,,
,`brief,adj,"short              1) fleeting, quick, short, short-lived, 2) not long in the telling, pithy, short and sweet, sparing of words",,,PUT TOGETHER
,`briefly,adv,"1) fleetingly, for a time, for the time being, quickly, sparely, here today and gone tomorrow, 2) in a few words, in a nutshell, in outline",,,
,`brilliant,adj,"1) ablaze, bright, gleaming, sparkling, 2) bright, keen-minded, quick-witted, sharp-witted, 3) great, good, outstanding, wonderful",,,
,`brisk,adj,"1) astir, lively, nimble, quick, speedy, up-and-doing, 2) biting, fresh, keen, sharp, 3) busy, going hammer and tongs",,,
,`browse,vb,"1) to chew, crop, eat, feed, graze, 2) to dip into, leaf/look/thumb through",,,
,`brush,vb,"1) to clean, sweep, wash, 2) to play with, stroke",,,
,`brusque,adj,"bearish, offhand, rough, sharp-edged, short, sparing of words, uncouth",,,GO OVER WORDS
,`brutal,adj,"cold-blooded, heartless, ruthless, stony-hearted",,,
,`brutality,n,"bloodlust, bloodthirstiness, fiendishness, heartlessness, ruthlessness",,,
,`bunch,n,"1) batch, cluster, handful, heap, sheaf, 2) crowd, gathering, knot, swarm",,,
,`bureaucratic,adj,"high-handed, hindering, overbearing, unbending",,,
,`burglarize,vb,"break into, get in, make off with, steal (from), thieve",,,
,`burglary,n,"break-in, housebreaking, theft, thieving, hold-up, stickup",,[S] robbery,
,`butcher,n,"1) meat seller, meat trader, 2) cut-throat, killer, man of blood, slayer, wholesale murderer",,,
,`by design,phr,,,[S] deliberately,
,`bypass,n,"ringroad, throughway",,,
,`bypass,vb,"to cold-shoulder, have nothing to do with, hold off, keep away, let alone, not go near, take the other way, give one the go-by",,,
,`byproduct,n,,,[S] honest,
,`cabin,n,"1) cot, cote, shed, 2) berth, room, (on shipboard)",,,
,`cabinet,n,"1) cupboard, 2) board, inner team",,,
,`calculate,vb,"1) work out, to reckon up, take stock, 2) to bethink, think likely, deem, reckon on, think through, weigh",,,
,`calculated,adj,"framed, in a fair way to, leading to, put-up, ready-made, weighed, willed, working towards",,,
,`calculating,adj,"canny, crafty, hard-headed, knowing, not straightforward, shady, sharp, shrewd, too clever by half, watchful",,,
,`callous,adj,"heartless, unfeeling, hardened, uncaring, cold, harsh, cold-hearted, bloodless                          hard as nails/steel/stone, stiff, stony-hearted, unbending, unyielding",,,PUT TOGETHER
,`calm,adj,"1) cool, cool-hearted, steady, unshaken, unworrying, 2) mild, smooth, at a stand/standstill, still, stilly, unstirring, windless",,,
,`calm,vb,"to allay (fears), put/set one's mind at rest, soothe, smooth, steady, still",,,
,`calmness,n,"cool-headedness, level-headedness",,,
,`campaign,vb,"1) to take the field, 2) to bestir oneself, do one's utmost, drive through, hammer at, put out one's whole strength",,,
,`campaign,n,"drive, fighting, onset",,,
,`canal,n,waterway,,,
,`cancel,vb,"call off, scrap, shelve, scrub, drop, can                       1) to axe, ditch, drop, end, have done with, put an end to, undo, unmake, 2) to cross out, strike out, tear up",,,PUT TOGETHER
,`cancer,vb,"1) growth, 2) blight, evil, sickness",,,
,`candid,adj,,,[S] honest,
,`candidate,n,"hopeful, runner, seeker, sitter (in an examination)",,,
,`candor,n,"boldness, forthrightness, openness, outspokenness, straightforwardness",,,MERGE WITH HONESTY?
,`cap,vb,"1) to hedge in, hold down, keep a tight hold on, put a drag on, stop, 2) to clinch, fulfil, reach a new high, rise to a new peak, 3) to beat, better, outdo, outmatch, outshine, top, overtop, put in the shade",,,
,`capability,n,"wisdom, deftness, sharpness, quickness, readiness, longheadedness, handcleverness",,,MERGE WITH ABILITY?
,`capable,adj,"bright, clever, deft, insightful, knowing, ready, sharp, wise, witful",,,
,`capacity,n,"1) deftness, readiness, strength, wisdom, 2) breadth, depth, length, width, greatness, fullness, room, headroom, 3) field, line",,,
,`cape,n,"1) overhood, riding hood, 2) foreland, headland, sea-ness",,,
,`capital,n,"hoard, holdings, the ready, wealth, wealth-stock, wherewithal",,,
,`capitalism,n,"buying and selling, free ownership",,,
,`capitalize on,vb,,,[S] make use of,
,`capitulate,vb,,,[S] surrender,
,`capricious,adj,"unsteady          bewildering, fickle, flighty, froward, giddy, light-minded, restless, shiftful, self-willed, unsettled, unstead, wayward, wilful",,,PUT TOGETHER. MERGE WITH INCONSISTENT?
,`captivating,adj,"bewitching, fetching, holding, spellbinding, winning",,,
,`capture,vb,"1) to bind, fasten on, grasp, grip, hold fast, lay hands on, lay hold of, 2) to reach to the heart of a thing, narrow down, put in a nutshell, 3) to bewitch, spellbind, fill/hold the mind",,,
,`card,n,stiff reed-sheet/drawing-sheet/writing-sheet,,,
,`career,n,"life's work, livelihood, path, walk of life",,,
,`carnage,n,"bloodshed, blood-bath, slaying, wholesale killing/murder",,,
,`carriageway,n,"high-road, highway, main road, road, roadway",,,
,`carry,vb,"bear, bring, fetch, hold, pick up, shoulder, take, uphold",,,
,`carry on,vb,,,[S] persevere,
,`cash,n,,,[S] money,
,`cast,n,"1) throw, 2) reckoning, 3) players, showfolk, starts, 4) likeness, set, shape, 5) bearing, bent, kind, look, stamp",,,
,`cast,vb,"1) to heave, pitch, throw, 2) to reckon, tell, 3) to choose, name, pick, 4) to make, set, shape, work up, 5) to bestow, give out, shed, spread",,,
,`castigate,vb,"to blast, chide, go for, lay into, tear into, upbraid, weigh into",,,
,`casual,adj,"careless, cool, heedless, laid-back, offhand, unthinking",,,
